order_id,amount,status,region,product,quantity
1001,1500.00,active,north,laptop,2
1002,250.50,cancelled,south,mouse,5
1003,3200.75,active,east,monitor,1
1004,89.99,pending,west,keyboard,3
1005,4500.00,active,north,laptop,3
1006,180.00,active,south,headset,2
1007,0.00,cancelled,east,cable,10
1008,2750.50,active,west,monitor,2
1009,320.00,pending,north,mouse,8
1010,1100.00,active,south,laptop,1
1011,55.00,cancelled,east,cable,5
1012,890.00,active,west,headset,3
1013,3400.00,active,north,monitor,1
1014,430.00,pending,south,keyboard,4
1015,670.00,active,east,mouse,6
