order_id,region,category,amount,quantity,status
1001,North,Electronics,1200,2,completed
1002,South,Clothing,350,5,completed
1003,East,Electronics,2800,1,completed
1004,West,Food,180,10,completed
1005,North,Clothing,520,3,completed
1006,South,Electronics,3200,1,completed
1007,East,Food,95,20,completed
1008,West,Clothing,410,4,completed
1009,North,Electronics,,1,completed
1010,South,Food,230,8,completed
1011,East,Clothing,680,2,completed
1012,West,Electronics,1950,1,completed
1013,North,Food,145,12,completed
1014,South,Clothing,290,6,completed
1015,East,Electronics,4100,1,completed
1016,West,Food,320,7,completed
1017,North,Clothing,,3,completed
1018,South,Electronics,2750,1,completed
1019,East,Food,175,15,completed
1020,West,Clothing,560,2,completed
1021,North,Electronics,890,2,completed
1022,South,Food,410,9,completed
1023,East,Clothing,730,3,completed
1024,West,Electronics,3300,1,completed
1025,North,Food,265,6,completed
1026,South,Clothing,480,4,completed
1027,East,Electronics,,2,completed
1028,West,Food,390,8,completed
1029,North,Clothing,620,3,pending
1030,South,Electronics,1800,1,cancelled
